Geography Type,Year,Geography,Population - Total,Population - Age 0-17,Population - Age 18-29,Population - Age 30-39,Population - Age 40-49,Population - Age 50-59,Population - Age 60-69,Population - Age 70-79,Population - Age 80+,Population - Age 5-11,Population - Age 12-17,Population - Age 5+,Population - Age 18+,Population - Age 65+,Population - Female,Population - Male,Population - Latinx,Population - Asian Non-Latinx,Population - Black Non-Latinx,Population - White Non-Latinx,Population - Other Race Non-Latinx,Record ID
Zip Code,2019,60637,"47,300","11,114","11,975","5,877","4,931","5,254","4,636","2,183","1,330","4,169","3,813","44,278","36,186","5,588","26,629","20,671","1,543","2,218","35,425","6,966","1,148",ZIP_Code-60637-2019
Zip Code,2019,60638,"58,669","14,545","7,924","8,989","7,264","7,874","6,506","3,398","2,169","5,542","5,119","54,785","44,124","8,240","29,443","29,226","29,543",311,"2,177","26,016",622,ZIP_Code-60638-2019
Zip Code,2019,60639,"88,204","23,036","15,550","13,440","12,571","10,179","8,034","3,780","1,614","9,273","7,600","82,043","65,168","8,698","44,143","44,061","68,792","1,124","10,828","6,628",832,ZIP_Code-60639-2019
Zip Code,2019,60640,"69,363","9,048","14,021","15,071","10,179","8,372","6,017","3,545","3,110","3,768","2,323","66,453","60,315","9,319","33,290","36,073","9,772","7,411","11,484","38,787","1,909",ZIP_Code-60640-2019
Zip Code,2019,60641,"69,880","15,420","10,959","11,809","10,150","8,899","7,444","3,286","1,913","5,936","5,075","65,495","54,460","8,121","35,575","34,305","38,120","3,208","1,429","25,014","2,109",ZIP_Code-60641-2019
Zip Code,2019,60642,"19,716","1,839","6,660","5,777","2,209","1,378","1,149",484,220,581,342,"18,800","17,877","1,175","9,427","10,289","3,202","1,427","1,962","12,534",591,ZIP_Code-60642-2019
Zip Code,2019,60643,"48,887","10,830","5,760","5,903","5,640","7,757","6,766","3,341","2,890","3,560","4,254","45,898","38,057","9,169","26,875","22,012","1,509",139,"35,352","10,446","1,441",ZIP_Code-60643-2019
Zip Code,2019,60644,"46,591","12,104","8,152","5,982","5,530","5,631","5,072","2,507","1,613","4,801","3,963","43,254","34,487","6,470","24,672","21,919","3,194",103,"41,158","1,781",355,ZIP_Code-60644-2019
Zip Code,2019,60645,"47,270","12,801","7,047","6,555","6,026","5,847","4,682","2,478","1,834","4,648","3,717","42,848","34,469","6,345","23,525","23,745","8,312","8,373","7,200","21,103","2,282",ZIP_Code-60645-2019
Zip Code,2019,60646,"28,569","6,507","3,187","3,464","3,915","3,779","3,546","2,231","1,940","2,422","2,284","26,768","22,062","5,914","15,310","13,259","4,300","2,771",286,"20,625",587,ZIP_Code-60646-2019
Zip Code,2019,60647,"87,633","15,892","22,226","21,408","11,447","7,438","5,301","2,800","1,121","5,377","4,637","81,785","71,741","6,315","43,228","44,405","37,622","3,019","4,268","40,544","2,180",ZIP_Code-60647-2019
Zip Code,2019,60649,"46,633","10,399","7,662","7,040","6,036","5,582","5,548","2,849","1,517","3,913","3,359","43,511","36,234","6,723","26,590","20,043","1,189",148,"43,366","1,234",696,ZIP_Code-60649-2019
